[rosmaster.master][INFO] 2017-01-25 11:36:24,146: publisherUpdate[/rosout] -> http://LYC-UP:33424/
[rosmaster.master][INFO] 2017-01-25 11:36:24,298: +PUB [/tf_static] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,655: +PUB [/camera/color/image_raw/compressedDepth] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,658: +SERVICE [/camera/color/image_raw/compressedDepth/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,661: +PUB [/camera/color/image_raw/compressedDepth/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,664: +PUB [/camera/color/image_raw/compressedDepth/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,674: +PARAM [/camera/color/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:24,677: +PARAM [/camera/color/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:24,680: +PARAM [/camera/color/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:24,684: +PARAM [/camera/color/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:24,686: +PARAM [/camera/color/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:24,688: +PARAM [/camera/color/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 11:36:24,794: +PUB [/camera/color/image_raw/compressed] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,797: +SERVICE [/camera/color/image_raw/compressed/set_parameters] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,800: +PUB [/camera/color/image_raw/compressed/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,804: +PUB [/camera/color/image_raw/compressed/parameter_updates] /camera/nodelet_manager http://LYC-UP:45985/
