[rosmaster.master][INFO] 2017-01-25 12:58:28,406: publisherUpdate[/rosout] -> http://LYC-UP:46624/
[rosmaster.master][INFO] 2017-01-25 12:58:28,548: +PUB [/tf_static] /camera/nodelet_manager http://LYC-UP:42462/
[rosmaster.master][INFO] 2017-01-25 12:58:28,876: +PUB [/camera/color/image_raw/compressedDepth] /camera/nodelet_manager http://LYC-UP:42462/
[rosmaster.master][INFO] 2017-01-25 12:58:28,879: +SERVICE [/camera/color/image_raw/compressedDepth/set_parameters] /camera/nodelet_manager http://LYC-UP:42462/
[rosmaster.master][INFO] 2017-01-25 12:58:28,881: +PUB [/camera/color/image_raw/compressedDepth/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:42462/
[rosmaster.master][INFO] 2017-01-25 12:58:28,884: +PUB [/camera/color/image_raw/compressedDepth/parameter_updates] /camera/nodelet_manager http://LYC-UP:42462/
[rosmaster.master][INFO] 2017-01-25 12:58:28,892: +PARAM [/camera/color/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:58:28,895: +PARAM [/camera/color/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:58:28,898: +PARAM [/camera/color/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:58:28,900: +PARAM [/camera/color/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:58:28,903: +PARAM [/camera/color/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:58:28,906: +PARAM [/camera/color/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:58:28,996: +PUB [/camera/color/image_raw/compressed] /camera/nodelet_manager http://LYC-UP:42462/
[rosmaster.master][INFO] 2017-01-25 12:58:28,999: +SERVICE [/camera/color/image_raw/compressed/set_parameters] /camera/nodelet_manager http://LYC-UP:42462/
[rosmaster.master][INFO] 2017-01-25 12:58:29,002: +PUB [/camera/color/image_raw/compressed/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:42462/
[rosmaster.master][INFO] 2017-01-25 12:58:29,006: +PUB [/camera/color/image_raw/compressed/parameter_updates] /camera/nodelet_manager http://LYC-UP:42462/
[rosmaster.master][INFO] 2017-01-25 12:58:29,015: +PARAM [/camera/color/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:58:29,017: +PARAM [/camera/color/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:58:29,020: +PARAM [/camera/color/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:58:29,023: +PARAM [/camera/color/image_raw/compressed/format] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:58:29,026: +PARAM [/camera/color/image_raw/compressed/jpeg_quality] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:58:29,029: +PARAM [/camera/color/image_raw/compressed/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:58:29,119: +PUB [/camera/color/image_raw] /camera/nodelet_manager http://LYC-UP:42462/
[rosmaster.master][INFO] 2017-01-25 12:58:29,214: +PUB [/camera/color/image_raw/theora] /camera/nodelet_manager http://LYC-UP:42462/
[rosmaster.master][INFO] 2017-01-25 12:58:29,217: +SERVICE [/camera/color/image_raw/theora/set_parameters] /camera/nodelet_manager http://LYC-UP:42462/
