[rosmaster.master][INFO] 2017-01-25 12:56:26,668: +SERVICE [/camera/nodelet_manager/list] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:26,917: +PUB [/tf_static] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,271: +PUB [/camera/color/image_raw/compressedDepth] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,274: +SERVICE [/camera/color/image_raw/compressedDepth/set_parameters] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,277: +PUB [/camera/color/image_raw/compressedDepth/parameter_descriptions] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,280: +PUB [/camera/color/image_raw/compressedDepth/parameter_updates] /camera/nodelet_manager http://LYC-UP:45583/
[rosmaster.master][INFO] 2017-01-25 12:56:27,289: +PARAM [/camera/color/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,292: +PARAM [/camera/color/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,295: +PARAM [/camera/color/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,298: +PARAM [/camera/color/image_raw/compressedDepth/depth_max] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,301: +PARAM [/camera/color/image_raw/compressedDepth/depth_quantization] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,304: +PARAM [/camera/color/image_raw/compressedDepth/png_level] by /camera/nodelet_manager
[rosmaster.master][INFO] 2017-01-25 12:56:27,404: +PUB [/camera/color/image_raw/compressed] /camera/nodelet_manager http://LYC-UP:45583/
